,slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,rating
0,1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,17.82178217821782,0,6,11,1007.9736328125,83.67489693992724,18,2,0,89.34087685573735,1229,5.0
1,3,https://www.artculturefestival.in/,1437.0,0.360473208072373,6.750173973556019,2,63,162,2994.5625,92.18613032997308,111,14,0,22.57965213695971,2519,5.0
2,4,http://ccrtindia.gov.in/,311.0,0.2315112540192926,24.342105263157894,0,91,114,2740.5126953125,98.29589653224815,78,18,0,60.29945123798309,3220,3.6
3,5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,2.0202020202020203,0,101,75,276.8818359375,61.40579204096965,20,6,0,37.1336948022164,2211,2.84
4,6,http://bharatdiscovery.org,1457.0,0.053534660260809885,6.382978723404255,1,70,607,987.58203125,63.77506219815601,92,10,0,19.623473459353296,1688,3.52
5,7,http://artlog.com/,134.0,0.5970149253731343,13.432835820895527,0,21,34,9047.06640625,99.1966599152263,34,11,0,34.74137429576335,1934,4.16
6,8,https://www.internationalartist.com/,470.0,0.12978723404255318,7.872340425531916,0,17,80,3017.5263671875,94.40427295354904,55,16,0,49.19553755893011,2089,4.44
7,9,https://art21.org/,358.0,0.24860335195530725,3.35195530726257,0,43,106,170.064453125,89.75399951764611,27,8,0,44.98979625924913,1221,4.88
8,10,https://www.artrenewal.org,8192.0,0.0164794921875,4.52880859375,3,67,1469,1445.49609375,87.05360400165384,724,8,0,30.514460173127432,1259,5.041666666666667
9,11,https://2017.stateofeuropeantech.com/,110.0,0.054545454545454536,42.72727272727273,0,0,38,732.7685546875,47.723011108075504,47,7,0,57.11004454151005,1452,5.48
10,12,https://disruptionmag.com/,156.0,0.10897435897435898,33.97435897435898,0,5,28,2630.9580078125,98.50636631663029,22,12,0,32.274308095660146,1286,5.0
11,13,https://archive.india.gov.in/business/,154.0,0.0,12.987012987012985,0,277,25,248.2197265625,77.50937338940975,129,10,0,74.9303901198263,2138,3.583333333333333
12,14,http://www.eex.dcmsme.gov.in/,145.0,0.013793103448275862,8.965517241379311,1,4,3,75.169921875,97.39782264141138,3,3,0,32.98989388127037,1415,2.75
13,15,http://hindi.webdunia.com/business,1338.0,0.31988041853512705,7.997010463378175,0,12,560,335.3623046875,79.33409238492652,146,6,0,40.5555052610939,1100,4.083333333333333
14,16,http://dirtexmah.gov.in/,274.0,0.30656934306569344,22.26277372262774,0,16,87,43571.568359375,99.39552127845695,43,10,0,36.95869317106317,1761,3.875
15,17,https://worldbusiness.org/,831.0,0.19374247894103488,12.274368231046932,1,27,88,460.3017578125,78.08269456390062,53,8,0,34.861757615754684,1371,4.583333333333333
16,18,https://www.worldbusinessculture.com/,783.0,0.13154533844189015,9.833971902937419,1,23,194,1519.25390625,76.76683919172908,48,14,0,30.942343523812657,2031,4.875
17,19,https://business.sprint.com/,973.0,0.1264131551901336,7.399794450154163,1,46,546,1379.658203125,86.02660022508972,111,6,0,31.904594491799717,1282,5.291666666666667
18,20,http://minimums.com,143.0,0.4825174825174825,39.16083916083916,1,6,40,5636.0771484375,74.49482728716696,53,18,0,31.848635057651435,2251,5.416666666666668
19,21,https://seeing-theory.brown.edu/,273.0,0.10989010989010987,3.296703296703297,0,15,52,2837.6796875,98.3392433849178,41,7,0,35.914298013515676,1060,6.541666666666668
20,22,https://tour.stevens.edu/,14.0,0.14285714285714285,0.0,0,0,4,1359.751953125,82.1101332532789,111,16,0,39.69248568935447,2321,5.416666666666668
21,23,http://cbse.gov.in/,17.0,0.5294117647058824,11.764705882352938,0,0,2,11.0732421875,69.08898491930505,0,5,0,59.436791151824494,738,2.083333333333333
22,24,http://edudel.gov.in,154.0,0.12337662337662338,22.07792207792208,1,103,41,168.529296875,88.73179042034144,32,6,0,40.575367349687184,1246,3.25
23,25,https://hindividya.com/,1151.0,0.13466550825369245,8.688097306689835,1,34,101,704.435546875,72.3181237194008,74,7,0,47.340589112699526,1297,3.75
24,26,https://www.amarujala.com/education,719.0,0.6592489568845619,16.82892906815021,1,48,264,406.869140625,62.12671073412155,106,8,0,40.4411654056352,1698,3.9166666666666665
25,27,https://academicearth.org/,660.0,0.06818181818181818,18.63636363636364,0,2,74,651.744140625,94.77753503969215,45,4,0,43.95933614300947,1250,4.583333333333333
26,28,https://www.edmentuminternational.com/,192.0,0.20833333333333331,10.9375,0,81,58,1348.5224609375,48.89762884291039,57,4,0,95.1449867316069,1219,5.291666666666667
27,29,https://www.funbrain.com/,220.0,0.09090909090909093,48.18181818181818,1,0,57,3039.32421875,97.98995459259936,60,11,0,45.571372939239005,1786,5.166666666666667
28,30,https://www.tcd.ie/,1369.0,0.07085463842220599,7.085463842220599,0,24,176,1753.9970703125,85.09097246078015,78,12,0,46.699077879765795,1732,4.833333333333333
29,31,https://www.epicurious.com/,1020.0,0.22941176470588234,13.823529411764708,1,20,155,1103.8447265625,84.33582197167749,146,14,0,78.31548916148806,1460,5.041666666666667
30,32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,383.0,0.1409921671018277,24.804177545691903,0,16,49,1046.865234375,81.58154460396086,48,4,0,13.184537683281205,997,4.75
31,33,https://wbpds.gov.in/,484.0,0.2665289256198347,27.89256198347108,2,16,94,4470.14453125,89.88949689651042,45,18,0,76.35644946830216,2050,3.8333333333333335
32,34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,29.82142857142857,1,186,76,1627.8037109375,96.26095840649937,54,21,0,74.8232359151033,2362,3.583333333333333
33,35,https://khabarlahariya.org/,1216.0,0.4120065789473684,5.921052631578947,1,24,305,291.251953125,92.15402257227352,42,13,0,57.21074911599172,2067,4.0
34,36,https://www.swatirecipe.com/,425.0,0.5011764705882353,2.8235294117647056,1,32,53,904.9619140625,79.88185794248507,58,7,0,40.89210563931157,1296,4.125
35,37,https://www.geniuskitchen.com/,359.0,0.38440111420612816,35.37604456824511,1,17,119,932.64453125,94.72402903370373,154,17,0,46.472629512254116,1930,5.333333333333333
36,38,https://www.consumersinternational.org/,423.0,0.07328605200945626,9.456264775413713,0,8,74,1907.5498046875,95.27939709142996,25,12,0,80.53054470013414,2075,4.833333333333333
37,39,http://www.internationalfood4u.com/,443.0,0.255079006772009,62.97968397291196,0,2,560,1095.791015625,86.04853443128448,75,6,0,29.582728593637892,987,4.75
38,40,https://www.foodandwine.com,711.0,0.5428973277074542,16.877637130801688,1,0,297,379.765625,63.75617156963589,139,14,0,35.85093069544196,3070,5.333333333333333
39,41,https://dataafrica.io/,45.0,0.37777777777777777,35.555555555555564,0,0,23,10266.322265625,99.52244491764922,15,12,0,39.684712914924326,2457,5.416666666666668
