slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,42.72727272727273,0,0,38,668.3017578125,43.4027772703959,32,6,0,61.11396819002884,1943
1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,17.82178217821782,0,6,11,1005.4970703125,83.85894336697976,18,2,0,95.82125393971579,154
21,https://seeing-theory.brown.edu/,273.0,0.10989010989010989,3.296703296703297,0,15,52,2844.9736328125,98.37140818185033,41,8,0,41.53981464003221,1694
16,http://dirtexmah.gov.in/,248.0,0.22983870967741934,21.774193548387096,0,16,86,44850.0791015625,99.41404611426684,43,6,0,33.35247719076397,2236
12,https://disruptionmag.com/,156.0,0.10897435897435898,33.97435897435898,0,5,28,2627.7197265625,98.61902753285752,22,14,0,34.65971096375531,1755
6,http://bharatdiscovery.org,1457.0,0.053534660260809885,6.382978723404255,1,52,608,934.8916015625,65.61286663205648,67,15,0,25.09588847223809,2223
13,https://archive.india.gov.in/business/,154.0,0.0,12.987012987012985,0,277,25,246.8115234375,77.95160939323797,129,10,0,82.84540568188672,3019
17,https://worldbusiness.org/,831.0,0.19374247894103488,12.274368231046932,1,27,88,465.1279296875,80.58287895425276,53,9,0,37.68664539715095,1864
23,http://cbse.gov.in/,17.0,0.5294117647058824,11.76470588235294,0,0,2,3.4228515625,0.0,0,3,0,68.14252303337399,722
3,https://www.artculturefestival.in/,1535.0,0.3355048859934853,7.752442996742672,2,63,162,2773.40234375,92.38747392572581,110,9,1,12.537858890744232,2143
4,http://ccrtindia.gov.in/,294.0,0.2585034013605442,198.9795918367347,0,92,115,2740.4482421875,98.29824400732801,79,19,0,67.08291621070515,2806
7,http://artlog.com/,134.0,0.5970149253731343,13.432835820895523,0,21,34,8712.451171875,99.55094126020703,34,11,0,33.93193717538959,2829
5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,2.0202020202020203,0,101,75,272.8408203125,62.27338943193898,20,12,0,30.52653855455939,3228
25,https://hindividya.com/,1150.0,0.13478260869565217,8.782608695652174,0,34,102,444.689453125,76.16094447933732,68,4,0,7.843074642978806,352
9,https://art21.org/,355.0,0.23661971830985915,3.0985915492957745,0,43,106,102.56640625,91.6584148988841,26,10,0,53.06853139199214,1640
36,https://www.swatirecipe.com/,427.0,0.48711943793911006,3.278688524590164,0,32,53,864.6064453125,88.74781585281417,54,11,0,59.830748797505414,2006
10,https://www.artrenewal.org,3667.0,0.03190619034633215,5.75402236160349,3,59,688,1945.548828125,92.42230612546066,332,8,1,35.42404324442085,2031
41,https://dataafrica.io/,45.0,0.37777777777777777,35.55555555555556,0,0,23,10282.98828125,99.53231691450344,15,12,0,40.94091794443572,3563
46,http://mls.org.in/,143.0,0.15384615384615385,10.48951048951049,0,142,57,207.78125,94.79010001503985,21,18,0,58.58253291785598,2337
27,https://academicearth.org/,661.0,0.0680786686838124,18.15431164901664,0,2,74,683.2294921875,95.23689051451701,45,6,0,70.48894378040238,1691
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,373.0,0.15013404825737264,24.396782841823057,0,15,49,1027.4140625,81.56846679694925,42,4,0,11.848621273896606,1580
28,https://www.edmentuminternational.com/,212.0,0.18867924528301888,9.90566037735849,0,81,58,1377.16015625,50.3160517709394,57,4,0,128.21507750077916,1448
47,https://www.usa.gov/,428.0,0.04672897196261682,5.607476635514018,0,25,92,1493.763671875,81.98754718510683,41,5,0,46.70190099501675,2077
33,https://wbpds.gov.in/,484.0,0.2665289256198347,27.892561983471076,2,16,94,4425.0732421875,89.81935547941805,45,19,0,83.45596311732243,2845
34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,29.82142857142857,1,186,76,1627.8037109375,96.26095840649937,54,22,0,103.23983107714857,3308
38,https://www.consumersinternational.org/,429.0,0.07226107226107226,10.722610722610723,0,9,76,1651.38671875,95.51684781965913,25,14,0,88.59464953610615,3004
29,https://www.funbrain.com/,227.0,0.0881057268722467,46.69603524229075,1,0,57,3001.4736328125,98.56743546220298,57,11,0,61.23389196391862,2465
35,https://khabarlahariya.org/,1106.0,0.325497287522604,6.6907775768535265,1,21,266,22.126953125,3.6808191367287493,11,3,0,26.17543559779919,504
42,https://www.nasa.gov/,211.0,0.009478672985781991,14.691943127962084,0,0,88,4592.734375,88.88419208328372,27,15,0,40.57225673745876,3195
49,http://english.gov.cn/,475.0,0.11157894736842106,13.894736842105262,0,44,188,1682.0693359375,95.91195972687566,42,14,0,59.85357343397311,3297
51,https://www.spectrumnews.org/,581.0,0.76592082616179,33.734939759036145,0,43,246,1112.2373046875,79.36354353336594,89,2,0,0.0,1
39,http://www.internationalfood4u.com/,443.0,0.255079006772009,62.97968397291196,0,2,560,1143.51171875,87.48612245037388,76,6,0,18.373466035814563,530
44,http://legislativebodiesinindia.gov.in/,22.0,1.0,4.545454545454546,0,0,0,1.34765625,0.0,1,3,0,9.84364899796879,598
30,https://www.tcd.ie/,1184.0,0.07685810810810811,7.010135135135136,0,24,198,1683.708984375,84.6148001470897,75,8,0,36.595686210474376,1912
45,https://rajyasabhahindi.nic.in,224.0,0.022321428571428572,2.6785714285714284,1,0,304,296.9716796875,70.57504299586648,25,10,1,76.40930071941814,2287
56,https://bharatswasthya.net/,244.0,0.04918032786885246,2.459016393442623,0,14,50,1301.927734375,95.74496652349956,64,20,0,47.94423505903875,2729
50,http://government.ru/en/,642.0,0.040498442367601244,22.274143302180686,0,18,76,671.4052734375,83.43143971293884,15,9,0,31.01909767767095,2074
66,https://www.bhaskar.com/bollywood,1526.0,0.14154652686762778,8.846657929226737,1,4,409,476.5986328125,67.55327977182058,175,17,0,58.28311038546444,3141
61,https://www.starwars.com/,434.0,0.7811059907834101,61.75115207373272,0,25,88,154.291015625,65.59806068584884,75,5,0,18.949214825228683,2119
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,15.463917525773196,0,100,47,4816.4384765625,98.9161670248354,46,4,0,39.269063085245904,1242
63,http://www.allindiaradio.gov.in,11.0,0.18181818181818182,18.181818181818183,0,1,0,0.48046875,0.0,0,1,-1,0.0,184
71,https://www.factcheck.org/,760.0,0.25921052631578945,8.947368421052632,2,22,92,150.9169921875,74.77529943897657,55,8,0,51.34869154128557,2577
64,https://www.cfsindia.org/,356.0,0.5,16.292134831460675,0,7,51,2346.21875,86.43853474340361,57,17,0,98.94448656993941,2727
58,https://www.health.com/,1105.0,0.7927601809954751,16.651583710407238,0,0,338,571.0234375,73.76882926762529,82,7,0,57.57520229602864,1527
54,http://www.pci.nic.in/,1418.0,0.020451339915373765,13.822284908321581,2,4,227,6814.83203125,93.9072748606125,150,10,2,29.518053586578898,2539
68,https://www.cartoonbrew.com/,635.0,0.3653543307086614,17.165354330708663,0,27,90,821.5673828125,65.66787711655384,70,12,0,55.6815195266153,2527
72,https://www.pbs.org/newshour/,1136.0,0.04225352112676056,10.475352112676056,0,117,240,144.2470703125,64.11728466105653,104,11,0,33.70546069861079,2354
65,http://kavitakosh.org/,6720.0,0.013839285714285714,0.34226190476190477,1,12,2892,729.5634765625,78.94195078660319,36,16,8,66.11594710521537,2381
76,https://www.dprmp.org/,692.0,0.0,13.583815028901732,1,219,90,441.7509765625,85.51264167585934,44,10,1,44.839907865138215,2265
55,https://khabarlahariya.org/,696.0,0.5172413793103449,9.051724137931034,1,21,266,140.052734375,84.12846723471907,24,5,0,22.116058328925003,1811
69,https://www.hollywoodawards.com/,168.0,0.8511904761904762,11.30952380952381,0,4,36,3878.4375,98.33514624123761,64,4,0,14.099773799904531,1431
73,http://www.pib.nic.in/,427.0,0.10070257611241218,20.374707259953162,0,3,93,1517.41796875,93.7128500047624,97,9,0,30.521607543990726,1990
59,https://www.worldhealthinnovationsummit.com/,596.0,0.05704697986577181,13.422818791946309,2,54,29,2429.8916015625,51.604989773769006,136,16,0,42.35661549518434,1365
77,https://www.news18.com/,2641.0,0.10829231351760697,15.032184778492997,1,36,374,272.80078125,74.52174348840872,217,12,0,56.0915976737737,3297
70,https://www.oscars.org/,167.0,0.03592814371257485,53.89221556886228,0,2,53,6064.0830078125,98.04683731905699,28,1,0,0.0,178
60,https://kidshealth.org/,108.0,0.09259259259259259,5.555555555555555,0,10,62,868.4580078125,94.54605358590624,35,12,0,68.92266372478406,1898
86,https://techsandesh.com/,1417.0,1.3733239237826393,13.267466478475654,0,18,210,823.7177734375,59.43055435353479,131,14,0,56.90415840923953,2765
87,http://www.cstep.in/,21.0,0.14285714285714285,23.809523809523807,1,3,37,1762.9833984375,85.43706153287967,8,3,0,11.83654957882502,403
74,http://www.newsonair.nic.in/,727.0,0.08665749656121045,19.669876203576344,3,25,140,3346.5546875,95.40330073606485,76,17,2,91.18316958155391,3138
91,https://www.theplayerstribune.com/global,377.0,0.04509283819628647,21.485411140583555,0,11,51,437.685546875,32.58841116490774,81,9,0,12.897695177164763,2436
82,http://vis.sciencemag.org/space-graveyard/,410.0,0.02926829268292683,10.24390243902439,0,39,28,2489.4912109375,55.96446625836181,79,18,0,27.095024934916264,1927
83,http://www.kscste.kerala.gov.in/,562.0,0.033807829181494664,19.572953736654807,6,23,337,1935.1123046875,64.60809818551591,65,15,0,37.21962610492025,2221
89,https://www.scienceeurope.org/,391.0,0.03836317135549872,8.184143222506394,0,13,89,356.888671875,61.949246690417944,31,12,0,72.99929871655551,2789
80,https://www.bbc.com,1415.0,0.37173144876325087,10.318021201413426,0,34,293,1102.427734375,81.99295588748554,157,12,0,13.413603671362479,2758
94,http://sportsauthorityofindia.nic.in/,200.0,0.035,32.5,1,2,86,4712.1865234375,57.21582109552629,86,8,1,36.431159899877876,1964
90,https://www.worldsciencefestival.com/,362.0,0.06353591160220995,25.96685082872928,2,13,130,275.560546875,57.9429713580982,86,7,2,94.60768509430915,3022
97,https://www.foxsportsasia.com/,712.0,0.5098314606741573,27.668539325842694,0,120,166,1819.244140625,90.98118745658664,144,13,0,36.03694715181105,2665
95,https://naidunia.jagran.com/sports,956.0,0.010460251046025104,24.686192468619247,0,11,140,510.310546875,94.23700335656521,76,7,0,36.96245097544764,2379
98,http://www.espn.in/,2490.0,0.3542168674698795,19.196787148594378,1,63,359,162.029296875,57.848455261032555,260,9,0,21.63576453876374,2139
99,https://www.skysports.com,659.0,0.3596358118361153,6.22154779969651,0,6,244,724.4375,93.2347834526788,92,16,0,67.54549836835466,2748
100,https://www.uefa.com,863.0,0.2827346465816918,31.05446118192352,0,2,204,191.8701171875,89.19557195571956,96,9,0,27.591719252119653,2604
19,https://business.sprint.com/,943.0,0.10180275715800637,6.044538706256628,1,48,296,1016.982421875,82.75180287884461,55,7,0,50.07008863972402,1755
26,https://www.amarujala.com/education,734.0,0.6457765667574932,16.7574931880109,1,47,237,325.53515625,70.07961649687414,101,10,0,13.187807671562117,1778
15,http://hindi.webdunia.com/business,1327.0,0.3202712886209495,8.138658628485306,0,0,561,145.908203125,62.33786225821565,135,15,0,52.644808597144205,2950
40,https://www.foodandwine.com,694.0,0.5172910662824207,17.29106628242075,1,0,297,740.48828125,45.87015008044734,47,10,1,34.41729930648368,1944
81,https://solarsystem.nasa.gov/,430.0,0.16744186046511628,38.139534883720934,0,21,206,9146.5634765625,53.44967655095018,79,10,1,30.7161196400522,1728
75,https://aajtak.intoday.in/,2591.0,0.12389038981088382,8.452335005789271,3,147,468,197.390625,70.7472492677907,190,10,0,63.221805429959616,2609
84,https://vigyanvishwa.in/,1432.0,0.11452513966480447,16.27094972067039,2,44,241,34.2373046875,0.0,100,5,1,17.871781010162074,1281
57,https://www.who.int/,215.0,0.08837209302325581,14.883720930232558,1,31,560,4825.3857421875,98.20683053390931,91,20,0,72.14261732399176,2675
43,https://presidentofindia.gov.in/,584.0,0.7174657534246576,9.58904109589041,0,5,64,2704.6640625,90.0274626874294,46,21,0,37.89754670840438,1922
18,https://www.worldbusinessculture.com/,801.0,0.12484394506866417,9.987515605493133,1,23,194,1451.3076171875,80.40654339869958,48,14,0,31.626182224382273,1854
24,http://edudel.gov.in,154.0,0.12337662337662338,22.07792207792208,1,103,41,168.5302734375,88.73127625669999,32,6,0,40.491709347618205,1246
88,https://www.thetech.org/,1152.0,0.043402777777777776,7.638888888888889,0,11,227,3257.521484375,95.74131622069358,80,6,0,17.518728015103882,1521
96,https://sportshindi.com/,918.0,0.7962962962962963,5.119825708061002,1,11,146,1227.58984375,72.81345560883719,71,21,0,44.24898597900638,2178
93,http://www.sportsgoodsindia.org/,241.0,0.0,14.937759336099585,0,166,47,254.3896484375,94.70738401888711,56,6,0,35.748605964503014,1534
88,https://www.thetech.org/,1152.0,0.043402777777777776,7.638888888888889,0,11,227,3257.380859375,95.74092250831795,80,6,0,17.518728015103882,1521
48,https://www.gov.uk/,570.0,0.19824561403508772,6.666666666666667,0,30,91,28.349609375,61.429555632104716,11,5,0,55.507656202701874,1663
22,https://tour.stevens.edu/,14.0,0.14285714285714285,0.0,0,0,4,1359.7529296875,82.1101461016226,111,16,0,39.68900469700358,2322
67,https://www.inoxmovies.com/,441.0,0.006802721088435374,32.19954648526077,12,6,179,268.009765625,78.20085846918475,93,14,0,46.34484637602496,2032
88,https://www.thetech.org/,1152.0,0.043402777777777776,7.638888888888889,0,11,225,3257.1123046875,95.74515865670169,80,6,0,25.82133447653917,1742
85,https://www.vigyanspace.in/,27.0,0.2222222222222222,3.7037037037037033,0,3,6,0.0,0.0,18,1,0,11.62532609039956,250
8,https://www.internationalartist.com/,27.0,0.2222222222222222,3.7037037037037033,0,3,6,0.0,0.0,18,1,0,11.719795513638687,253
20,http://minimums.com,143.0,0.4825174825174825,39.16083916083916,1,6,40,4242.1572265625,98.55510018602803,53,18,0,31.848635057651435,2251
57,https://www.who.int/,27.0,0.2222222222222222,3.7037037037037033,0,3,6,0.0,0.0,18,1,0,11.416494760322912,238
