slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,42.72727272727273,0,0,38,692.6279296875,45.387035055290724,33,6,0,60.897301553681224,1871
1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,17.82178217821782,0,6,11,1005.5126953125,83.85967979254985,18,3,0,101.14113503078816,858
21,https://seeing-theory.brown.edu/,273.0,0.10989010989010989,3.296703296703297,0,15,52,2845.0458984375,98.36890949762935,41,8,0,40.16215735260186,1615
16,http://dirtexmah.gov.in/,248.0,0.22983870967741934,21.774193548387096,0,16,86,44850.0888671875,99.414046241852,43,6,0,33.18393563606379,2241
2,http://www.mondriaan.nl/en,4.0,0.75,25.0,0,0,0,0.701171875,0.0,0,1,-1,0.0,120
12,https://disruptionmag.com/,156.0,0.10897435897435898,33.97435897435898,0,5,28,2627.7197265625,98.61902753285752,22,14,0,34.659712955893305,1750
6,http://bharatdiscovery.org,1457.0,0.053534660260809885,6.382978723404255,1,52,607,445.931640625,55.62682586053601,26,15,0,25.09588847223809,2223
13,https://archive.india.gov.in/business/,154.0,0.0,12.987012987012985,0,277,25,246.8115234375,77.95160939323797,129,10,0,82.84540568188672,3019
7,http://artlog.com/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
14,http://www.eex.dcmsme.gov.in/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
17,https://worldbusiness.org/,831.0,0.19374247894103488,12.274368231046932,1,27,88,465.228515625,80.6026104442961,53,9,0,37.68664539715095,1864
3,https://www.artculturefestival.in/,1536.0,0.3352864583333333,7.747395833333333,2,63,163,2750.724609375,93.70361218741368,108,8,1,34.84642982219575,2432
4,http://ccrtindia.gov.in/,294.0,0.2585034013605442,198.9795918367347,0,92,115,2740.42578125,98.29823005948266,79,19,0,67.08370094489325,2806
23,http://cbse.gov.in/,17.0,0.5294117647058824,11.76470588235294,0,0,2,2.255859375,0.0,0,1,0,8.40320069748762,174
24,http://edudel.gov.in,154.0,0.12337662337662338,22.07792207792208,1,103,41,168.0908203125,89.11372549019607,32,6,0,57.20433795900684,1984
5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,2.0202020202020203,0,101,75,272.083984375,62.44696964258795,20,12,0,30.52653855455939,3228
15,http://hindi.webdunia.com/business,1337.0,0.3193717277486911,8.152580403889305,0,12,561,167.15234375,66.47192166577084,142,15,0,52.64528968847066,2952
18,https://www.worldbusinessculture.com/,801.0,0.12484394506866417,9.987515605493133,1,23,194,1443.943359375,81.80330285851868,47,14,0,36.569881347791075,2712
26,https://www.amarujala.com/education,751.0,0.6537949400798935,16.11185086551265,1,47,237,268.439453125,60.52233321934503,98,11,0,16.649535001822915,1841
19,https://business.sprint.com/,943.0,0.10180275715800637,6.044538706256628,1,48,296,1016.9814453125,82.75178631616043,55,7,0,50.07008863972402,1755
27,https://academicearth.org/,626.0,0.07188498402555911,19.169329073482427,0,2,74,683.2373046875,95.23694497845305,44,6,0,70.48894378040238,1691
9,https://art21.org/,335.0,0.2626865671641791,3.2835820895522385,0,45,106,82.974609375,89.66292399312667,25,3,0,0.0,782
25,https://hindividya.com/,1150.0,0.13478260869565217,8.782608695652174,0,34,101,472.0576171875,65.55058369381055,73,8,0,30.255924699099523,1651
10,https://www.artrenewal.org,3667.0,0.03190619034633215,5.75402236160349,3,59,688,1780.7236328125,91.24395860399537,331,8,1,35.428091795602874,2031
28,https://www.edmentuminternational.com/,212.0,0.18867924528301888,9.90566037735849,0,81,58,1359.17578125,49.68256842238374,52,4,0,68.01503593427671,1617
41,https://dataafrica.io/,45.0,0.37777777777777777,35.55555555555556,0,0,23,10282.9814453125,99.5323166035963,15,12,0,40.94091794443572,3563
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,373.0,0.15013404825737264,24.396782841823057,0,15,49,1027.3076171875,81.57710870059118,38,4,0,11.848621273896606,1580
20,http://minimums.com,143.0,0.4825174825174825,39.16083916083916,1,6,40,4263.2705078125,98.59155316728166,52,21,0,46.576512475804606,3230
46,http://mls.org.in/,143.0,0.15384615384615385,10.48951048951049,0,142,57,206.5712890625,94.75958379229326,21,18,0,58.58253291785598,2337
36,https://www.swatirecipe.com/,425.0,0.48705882352941177,3.058823529411765,0,32,53,851.0478515625,88.56946801564708,54,9,0,43.95434411439876,2042
42,https://www.nasa.gov/,211.0,0.009478672985781991,14.691943127962084,0,0,88,4031.5048828125,87.33473973665909,21,10,0,39.44568963867099,2024
29,https://www.funbrain.com/,227.0,0.0881057268722467,46.69603524229075,1,0,57,2969.8408203125,98.54925016038514,60,12,0,56.148224304115026,2552
47,https://www.usa.gov/,428.0,0.04672897196261682,5.607476635514018,0,25,92,1468.5615234375,81.61978232579048,33,5,0,46.70190099501675,2077
33,https://wbpds.gov.in/,484.0,0.2665289256198347,27.892561983471076,2,16,94,4425.0908203125,89.81977108962056,45,19,0,83.4479920350398,2849
34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,29.82142857142857,1,186,76,1627.8037109375,96.26095840649937,54,22,0,103.1939143694821,3317
43,https://presidentofindia.gov.in/,584.0,0.7174657534246576,9.58904109589041,0,5,64,2703.2919921875,90.07322885761032,48,22,0,55.917135690098235,3058
44,http://legislativebodiesinindia.gov.in/,22.0,1.0,4.545454545454546,0,0,0,1.34765625,0.0,1,3,0,9.84364899796879,598
45,https://rajyasabhahindi.nic.in,224.0,0.022321428571428572,2.6785714285714284,1,0,304,296.9716796875,70.57504299586648,25,10,1,76.40931512767344,2287
51,https://www.spectrumnews.org/,581.0,0.76592082616179,33.734939759036145,0,43,246,1095.072265625,78.92806375150042,89,2,0,0.0,1
48,https://www.gov.uk/,570.0,0.19824561403508772,6.666666666666667,0,30,91,28.353515625,61.42109251222704,11,5,0,68.62734016563502,2651
35,https://khabarlahariya.org/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
38,https://www.consumersinternational.org/,318.0,0.09119496855345911,14.465408805031446,0,9,75,1592.9482421875,95.35225747756684,21,14,0,90.80336980279706,2986
56,https://bharatswasthya.net/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
49,http://english.gov.cn/,474.0,0.10970464135021098,14.556962025316455,0,44,188,1416.6279296875,95.15347501459713,41,13,0,57.938260795847995,2139
50,http://government.ru/en/,642.0,0.040498442367601244,22.274143302180686,0,18,76,1239.1923828125,91.01898997031364,15,9,0,31.01909767767095,2074
57,https://www.who.int/,215.0,0.08837209302325581,14.883720930232558,1,31,560,4926.3447265625,98.2411607554013,93,20,0,72.14739865241731,2676
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,15.463917525773196,0,100,47,4809.7958984375,98.91469049878067,46,4,0,39.269063085245904,1242
63,http://www.allindiaradio.gov.in,11.0,0.18181818181818182,18.181818181818183,0,1,0,0.48046875,0.0,0,1,-1,0.0,184
54,http://www.pci.nic.in/,1422.0,0.02461322081575246,14.064697609001406,2,4,228,6814.9052734375,93.90734034127573,153,11,2,29.876391088754566,2706
64,https://www.cfsindia.org/,356.0,0.5,16.292134831460675,0,7,51,2363.7626953125,86.53922981805772,57,17,0,98.94167697229665,2727
66,https://www.bhaskar.com/bollywood,2025.0,0.11703703703703704,8.049382716049383,6,34,511,391.5283203125,60.66895304608094,206,15,1,38.62923702465392,2539
40,https://www.foodandwine.com,694.0,0.5172910662824207,17.29106628242075,0,0,297,546.9599609375,47.16320857295384,39,10,0,34.66364993232831,2063
71,https://www.factcheck.org/,760.0,0.25921052631578945,8.947368421052632,2,22,92,291.474609375,86.94542165041713,78,8,0,51.62902362635006,2658
55,https://khabarlahariya.org/,696.0,0.5172413793103449,9.051724137931034,1,21,266,140.09765625,84.11543287327478,24,5,0,22.116058328925003,1811
76,https://www.dprmp.org/,692.0,0.0,13.583815028901732,1,219,90,446.30078125,84.6408847032463,44,10,1,44.84200455607828,2262
67,https://www.inoxmovies.com/,403.0,0.007444168734491315,31.265508684863523,12,1,163,250.365234375,77.81288274161966,88,11,8,46.462766192231676,2239
65,http://kavitakosh.org/,6720.0,0.013839285714285714,0.34226190476190477,1,12,2892,734.6884765625,79.08778300751939,36,16,8,66.11594710521537,2381
72,https://www.pbs.org/newshour/,798.0,0.05639097744360902,9.523809523809524,0,94,211,161.3212890625,72.84630704690876,103,11,0,33.67596685779638,2229
81,https://solarsystem.nasa.gov/,428.0,0.16822429906542055,38.55140186915888,0,21,206,8343.9189453125,58.58693404265106,79,7,1,28.839605101390248,1617
68,https://www.cartoonbrew.com/,634.0,0.3722397476340694,17.034700315457414,0,27,90,821.7021484375,65.6580578377344,68,7,0,33.648021052210204,2599
60,https://kidshealth.org/,106.0,0.09433962264150944,5.660377358490567,0,10,62,885.873046875,94.6532706303589,35,17,0,64.51776455616744,1842
82,http://vis.sciencemag.org/space-graveyard/,408.0,0.029411764705882353,9.803921568627452,0,39,28,2567.7158203125,57.307059069173604,82,18,0,27.095024934916264,1927
69,https://www.hollywoodawards.com/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
70,https://www.oscars.org/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
83,http://www.kscste.kerala.gov.in/,558.0,0.034050179211469536,19.71326164874552,6,23,337,2663.783203125,74.29125634139064,71,15,0,28.264026020386794,2519
73,http://www.pib.nic.in/,440.0,0.09772727272727273,20.227272727272727,0,3,92,1419.107421875,95.04213558533574,94,9,0,30.63326216269156,1981
86,https://techsandesh.com/,1420.0,1.3704225352112676,13.380281690140844,0,18,210,966.1650390625,56.80480071319337,137,14,0,57.344714780974456,2821
91,https://www.theplayerstribune.com/global,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
87,http://www.cstep.in/,21.0,0.14285714285714285,23.809523809523807,1,3,37,1762.9833984375,85.43706153287967,8,3,0,11.83654957882502,403
74,http://www.newsonair.nic.in/,748.0,0.08422459893048129,19.385026737967912,3,25,141,3336.3662109375,95.37617970055956,73,12,2,89.33244463801559,2899
88,https://www.thetech.org/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
85,https://www.vigyanspace.in/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
89,https://www.scienceeurope.org/,391.0,0.03836317135549872,8.184143222506394,0,13,89,356.7890625,61.93451794433861,31,12,0,73.24014103996865,2729
96,https://sportshindi.com/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
90,https://www.worldsciencefestival.com/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
97,https://www.foxsportsasia.com/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
98,http://www.espn.in/,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
92,https://www.bleacherreport.com/,1619.0,0.5657813465101915,10.932674490426189,0,59,155,347.56640625,59.28442181687402,117,12,0,51.54992682147805,2769
99,https://www.skysports.com,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,-1,0.0,1
93,http://www.sportsgoodsindia.org/,241.0,0.0,14.937759336099585,0,166,47,254.3896484375,94.70738401888711,58,8,0,46.00394587763552,2613
94,http://sportsauthorityofindia.nic.in/,200.0,0.035,32.5,1,2,86,5026.6533203125,59.82348391669174,86,8,1,36.38749908904857,2080
75,https://aajtak.intoday.in/,2516.0,0.11963434022257552,8.028616852146264,3,147,468,66.44140625,28.417308483743902,185,9,0,62.203471202960955,2299
95,https://naidunia.jagran.com/sports,944.0,0.01059322033898305,24.68220338983051,0,11,140,623.4736328125,91.39288606393427,74,11,1,52.13815806081782,2744
100,https://www.uefa.com,942.0,0.25902335456475584,28.874734607218684,0,2,192,108.6455078125,81.44229818521748,85,9,0,24.684343016039055,2238
