slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,,0,6,11,1005.4384765625,83.85771133357744,18,3,0,101.14113503078816,858
2,http://www.mondriaan.nl/en,4.0,0.75,,0,0,0,0.701171875,0.0,0,1,-1,0.0,120
3,https://www.artculturefestival.in/,1454.0,0.3425034387895461,,2,63,162,2709.681640625,92.1852126020916,110,11,1,17.410571277257535,2125
4,http://ccrtindia.gov.in/,294.0,0.2585034013605442,,0,92,115,2740.537109375,98.29502086369645,79,19,0,66.94010896870554,2699
5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,,0,101,75,272.4072265625,62.32518955349621,20,12,0,30.52653855455939,3228
6,http://bharatdiscovery.org,1431.0,0.05450733752620545,,1,52,602,450.3837890625,54.077143408507936,26,15,0,25.2772649319841,2293
7,http://artlog.com/,134.0,0.5970149253731343,,0,21,34,8712.4326171875,99.54686028664811,34,11,0,33.93193717538959,2829
8,https://www.internationalartist.com/,567.0,0.10758377425044091,,0,17,80,3034.306640625,94.51606466417562,55,10,0,29.710555337309316,2724
9,https://art21.org/,357.0,0.23529411764705882,,0,43,106,160.7080078125,94.67566007352718,27,10,0,52.91180233048674,1655
10,https://www.artrenewal.org,5488.0,0.021501457725947522,,3,77,1069,2080.22265625,91.73179516165074,522,8,1,35.440124455667664,2031
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,,0,0,38,668.0673828125,43.388622440253705,31,6,0,60.83169342411154,1856
12,https://disruptionmag.com/,156.0,0.10897435897435898,,0,5,28,2627.7197265625,98.61902753285752,22,14,0,34.659712955893305,1750
13,https://archive.india.gov.in/business/,154.0,0.0,,0,277,25,246.8115234375,77.95160939323797,129,10,0,82.84540568188672,3019
14,http://www.eex.dcmsme.gov.in/,145.0,0.013793103448275862,,1,4,3,75.169921875,97.39782264141138,3,4,0,25.136012583282007,1902
16,http://dirtexmah.gov.in/,223.0,0.14349775784753363,,0,16,90,44849.4853515625,99.41538400369656,43,6,0,33.18637710769113,2169
17,https://worldbusiness.org/,831.0,0.19374247894103488,,1,27,88,465.0556640625,80.5859513625091,53,9,0,37.68664539715095,1864
18,https://www.worldbusinessculture.com/,801.0,0.12484394506866417,,1,23,194,1463.5693359375,80.71395447372548,48,14,0,30.461366711350195,3015
19,https://business.sprint.com/,1001.0,0.1258741258741259,,1,60,546,1257.0146484375,85.82330562165598,108,7,0,50.07008863972402,1754
20,http://minimums.com,143.0,0.4825174825174825,,1,6,40,4263.3984375,98.59159542984891,53,21,0,46.576512475804606,3230
21,https://seeing-theory.brown.edu/,273.0,0.10989010989010989,,0,15,52,2845.048828125,98.36891117724392,41,8,0,42.70356357876642,1711
22,https://tour.stevens.edu/,0.0,0.0,,0,0,0,77.880859375,0.7510971786833855,9,1,0,52.13098886458993,1
23,http://cbse.gov.in/,17.0,0.5294117647058824,,0,0,2,11.0732421875,69.08898491930505,0,5,0,71.80065252527974,903
24,http://edudel.gov.in,154.0,0.12337662337662338,,1,103,41,167.41015625,89.32496441654806,32,6,0,57.18184886535071,1984
25,https://hindividya.com/,1154.0,0.134315424610052,,1,34,102,766.5478515625,71.87713788864188,74,4,0,7.948226463560192,352
27,https://academicearth.org/,659.0,0.06828528072837632,,0,2,74,682.72265625,95.23435577907848,44,7,0,70.10241271247394,1704
28,https://www.edmentuminternational.com/,212.0,0.18867924528301888,,0,81,58,1376.8291015625,50.30630418484502,57,6,0,51.503245685654356,1413
30,https://www.tcd.ie/,1181.0,0.06689246401354784,,0,24,199,1961.7216796875,86.80054739066001,78,15,0,41.38230236415161,2722
31,https://www.epicurious.com/,1074.0,0.23743016759776536,,1,10,151,1037.1962890625,83.67594429468717,114,15,1,83.70844519209025,2337
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,373.0,0.15013404825737264,,0,15,49,1045.2255859375,81.87797752242105,46,4,0,11.848621273896606,1580
33,https://wbpds.gov.in/,484.0,0.2665289256198347,,2,16,94,4500.8212890625,89.98301308289872,45,20,0,83.33673292232129,2836
34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,,1,186,76,1627.8037109375,96.26095840649937,54,22,0,103.26879326987579,3300
35,https://khabarlahariya.org/,1273.0,0.4304791830322074,,1,23,311,157.7255859375,85.72852623041155,41,11,0,44.906156626915205,1659
36,https://www.swatirecipe.com/,14.0,0.0,,0,0,1,4.2265625,0.0,1,3,0,15.97925324485858,847
37,https://www.geniuskitchen.com/,384.0,0.4010416666666667,,1,16,119,714.4599609375,94.28408968202874,157,16,0,70.52811813435434,3230
38,https://www.consumersinternational.org/,433.0,0.07159353348729793,,0,9,77,1651.474609375,95.51176446239452,25,14,0,88.59464953610615,3004
39,http://www.internationalfood4u.com/,443.0,0.255079006772009,,0,2,560,1023.3759765625,87.36527100388669,73,7,0,24.622530017085708,997
40,https://www.foodandwine.com,702.0,0.5185185185185185,,1,0,297,115.6484375,0.2626156860095927,100,15,1,46.1516247981643,2465
41,https://dataafrica.io/,45.0,0.37777777777777777,,0,0,23,10282.9462890625,99.53231500463876,15,12,0,40.94091794443572,3563
42,https://www.nasa.gov/,236.0,0.00847457627118644,,0,0,89,15023.6474609375,96.4134926611465,47,8,0,60.71987932975888,1787
43,https://presidentofindia.gov.in/,588.0,0.7125850340136054,,0,5,64,2275.130859375,93.74173188870489,46,22,0,55.917135690098235,3058
44,http://legislativebodiesinindia.gov.in/,22.0,1.0,,0,0,0,1.34765625,0.0,1,3,0,9.84364899796879,598
45,https://rajyasabhahindi.nic.in,224.0,0.022321428571428572,,1,0,304,296.9716796875,70.57504299586648,25,10,1,76.4093242148991,2287
46,http://mls.org.in/,143.0,0.15384615384615385,,0,142,57,207.783203125,94.78920900502891,21,18,0,58.58886733319213,2337
