slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,https://history.laumeiersculpturepark.org,505.0,0.015841584158415842,,0,6,11,1005.513671875,83.85872426057111,18,3,0,101.14113503078816,858
2,http://www.mondriaan.nl/en,4.0,0.75,,0,0,0,0.701171875,0.0,0,1,-1,0.0,120
3,https://www.artculturefestival.in/,1535.0,0.3355048859934853,,2,63,162,2773.376953125,92.3882845329722,110,9,1,11.437605584532314,2112
4,http://ccrtindia.gov.in/,294.0,0.2585034013605442,,0,92,115,2740.537109375,98.29502086369645,79,19,0,66.93958752303658,2699
5,http://www.abhivyakti-hindi.org/,792.0,0.021464646464646464,,0,101,75,272.1435546875,62.429353189198885,20,12,0,30.52653855455939,3228
6,http://bharatdiscovery.org,1462.0,0.0533515731874145,,1,53,607,445.830078125,53.580706634832325,26,15,0,25.09588847223809,2223
7,http://artlog.com/,134.0,0.5970149253731343,,0,21,34,8712.951171875,99.54724591691921,34,11,0,33.93193717538959,2829
8,https://www.internationalartist.com/,567.0,0.10758377425044091,,0,17,80,3034.30859375,94.51577853789283,55,10,0,29.722945474799086,2724
9,https://art21.org/,363.0,0.23140495867768596,,0,43,106,160.9404296875,94.61417571282077,27,10,0,53.02119096520531,1640
10,https://www.artrenewal.org,3667.0,0.03190619034633215,,3,59,688,2180.708984375,92.88998077066034,331,8,1,35.400130291348134,2031
11,https://2017.stateofeuropeantech.com/,110.0,0.05454545454545454,,0,0,38,668.3701171875,43.39541591236844,31,6,0,60.938902307494885,1896
12,https://disruptionmag.com/,156.0,0.10897435897435898,,0,5,28,2627.7197265625,98.61902753285752,22,14,0,34.6597016800253,1748
13,https://archive.india.gov.in/business/,154.0,0.0,,0,277,25,246.8115234375,77.95160939323797,129,10,0,82.84540568188672,3019
14,http://www.eex.dcmsme.gov.in/,145.0,0.013793103448275862,,1,4,3,75.169921875,97.39782264141138,3,4,0,25.139649203795212,1902
16,http://dirtexmah.gov.in/,248.0,0.22983870967741934,,0,16,86,44850.0859375,99.41405055836188,43,6,0,33.39094233593269,2237
17,https://worldbusiness.org/,831.0,0.19374247894103488,,1,27,88,465.22265625,80.60257605145385,53,9,0,37.68664539715095,1864
18,https://www.worldbusinessculture.com/,801.0,0.12484394506866417,,1,23,194,1463.88671875,80.71920321276568,48,14,0,29.530376294578573,2945
19,https://business.sprint.com/,1001.0,0.1258741258741259,,1,60,546,1116.0712890625,84.00893550111694,104,7,0,50.07008863972402,1755
20,http://minimums.com,143.0,0.4825174825174825,,1,6,40,5597.7666015625,74.34178286436433,52,21,0,46.576512475804606,3230
21,https://seeing-theory.brown.edu/,273.0,0.10989010989010989,,0,15,52,2845.037109375,98.36890445876489,41,8,0,40.695367103672254,1640
22,https://tour.stevens.edu/,0.0,0.0,,0,0,0,77.880859375,0.7510971786833855,6,1,0,52.13098886458993,1
23,http://cbse.gov.in/,17.0,0.5294117647058824,,0,0,2,11.0732421875,69.08898491930505,0,5,0,71.80065252527974,903
24,http://edudel.gov.in,154.0,0.12337662337662338,,1,103,41,170.00390625,88.11091197353002,32,6,0,57.16230525294937,1984
25,https://hindividya.com/,1150.0,0.13478260869565217,,0,34,102,765.4296875,71.99681041081908,74,4,0,7.94823112410632,352
27,https://academicearth.org/,661.0,0.0680786686838124,,0,2,74,683.263671875,95.23355563114761,45,6,0,70.53588605869156,1686
28,https://www.edmentuminternational.com/,212.0,0.18867924528301888,,0,81,58,1377.466796875,50.325552311690814,57,6,0,51.503245685654356,1413
29,https://www.funbrain.com/,227.0,0.0881057268722467,,1,0,57,3011.896484375,98.22928737668529,60,12,0,57.36480101042253,2530
30,https://www.tcd.ie/,1309.0,0.06951871657754011,,0,24,198,2139.5458984375,87.88737022997451,77,15,0,41.38230236415161,2722
31,https://www.epicurious.com/,1102.0,0.23049001814882034,,0,20,155,978.908203125,83.92660828689488,130,6,0,35.20611948127765,2160
32,https://www.177milkstreet.com/recipes/tea-rubbed-maple-turkey,373.0,0.15013404825737264,,0,15,49,1045.15625,81.8832224547765,47,4,0,11.848621273896606,1580
33,https://wbpds.gov.in/,484.0,0.2665289256198347,,2,16,94,4500.8662109375,89.98218007948557,45,20,0,83.33673292232129,2831
34,http://mdmodisha.nic.in/,560.0,0.033928571428571426,,1,186,76,1627.8037109375,96.26095840649937,54,22,0,103.26879326987579,3300
35,https://khabarlahariya.org/,1204.0,0.4318936877076412,,1,21,313,157.46875,85.8819954356023,41,11,0,44.906156626915205,1662
36,https://www.swatirecipe.com/,425.0,0.49176470588235294,,0,32,53,967.76953125,81.31082264711462,58,10,0,43.55670520698158,2071
37,https://www.geniuskitchen.com/,395.0,0.37468354430379747,,1,16,120,811.05078125,95.00756156413603,155,17,0,43.53371911122935,2895
38,https://www.consumersinternational.org/,429.0,0.07226107226107226,,0,9,76,1651.408203125,95.51560517124945,25,14,0,88.59464953610615,3004
39,http://www.internationalfood4u.com/,443.0,0.255079006772009,,0,2,560,1120.361328125,86.5756373937677,75,7,0,24.29995676764191,1315
41,https://dataafrica.io/,45.0,0.37777777777777777,,0,0,23,10282.9970703125,99.53231731424059,15,12,0,40.94091794443572,3563
42,https://www.nasa.gov/,211.0,0.009478672985781991,,0,0,88,4688.9658203125,88.5891724275388,48,15,0,40.63108324122312,3200
43,https://presidentofindia.gov.in/,584.0,0.7174657534246576,,0,5,64,2703.3271484375,90.07335795336115,46,22,0,55.917135690098235,3058
44,http://legislativebodiesinindia.gov.in/,22.0,1.0,,0,0,0,1.34765625,0.0,1,3,0,9.84364899796879,598
45,https://rajyasabhahindi.nic.in,224.0,0.022321428571428572,,1,0,304,296.9716796875,70.57504299586648,25,10,1,76.7252223414475,2285
46,http://mls.org.in/,143.0,0.15384615384615385,,0,142,57,207.78125,94.79010001503985,21,18,0,58.552279300752026,2329
47,https://www.usa.gov/,428.0,0.04672897196261682,,0,25,92,1469.6259765625,81.63296225588861,41,5,0,47.097273440238155,1806
48,https://www.gov.uk/,570.0,0.19824561403508772,,0,30,91,28.357421875,61.41263172394793,11,5,0,68.53043998023453,2664
49,http://english.gov.cn/,470.0,0.11063829787234042,,0,44,188,1432.7265625,95.2069780630245,42,22,0,71.39887010387962,2492
50,http://government.ru/en/,642.0,0.040498442367601244,,0,18,76,1239.1923828125,91.01898997031364,15,9,0,31.01909767767095,2074
51,https://www.spectrumnews.org/,581.0,0.76592082616179,,0,43,246,1091.77734375,79.16027120342045,89,2,0,0.0,1
53,https://cghs.gov.in/,2570.0,0.0,,2,4,165,4005.3759765625,95.49594600030964,239,18,0,69.42558582569147,3499
54,http://www.pci.nic.in/,1422.0,0.02461322081575246,,2,4,228,6814.904296875,93.90733946820947,153,10,2,29.414149138239406,2571
55,https://khabarlahariya.org/,1204.0,0.4318936877076412,,1,21,313,157.498046875,85.8654001165689,42,11,0,43.82148422344919,1662
56,https://bharatswasthya.net/,244.0,0.04918032786885246,,0,14,50,1302.1298828125,95.74675205361409,64,20,0,47.94423505903875,2729
57,https://www.who.int/,215.0,0.08837209302325581,,1,31,560,4943.720703125,98.24840934186952,100,20,0,72.14261732399176,2675
58,https://www.health.com/,1115.0,0.7856502242152467,,0,0,354,699.8515625,76.94921356091136,103,8,0,75.84205920664705,2119
59,https://www.worldhealthinnovationsummit.com/,596.0,0.05704697986577181,,2,54,29,2799.0927734375,57.962069881040556,136,19,0,44.10029537079217,1911
60,https://kidshealth.org/,108.0,0.09259259259259259,,0,10,62,886.240234375,94.65548588996265,34,13,0,62.743490382286275,1905
61,https://www.starwars.com/,459.0,0.7429193899782135,,0,25,88,221.755859375,75.90651670351157,76,13,0,27.49943623316716,2328
62,http://oscars.mpaa.org/,291.0,0.21993127147766323,,0,100,47,4816.4384765625,98.9161670248354,46,4,0,39.269063085245904,1242
63,http://www.allindiaradio.gov.in,11.0,0.18181818181818182,,0,1,0,0.48046875,0.0,0,1,-1,0.0,184
64,https://www.cfsindia.org/,356.0,0.5,,0,7,51,2363.767578125,86.53905105478295,57,17,0,98.94183509699309,2727
65,http://kavitakosh.org/,6720.0,0.013839285714285714,,1,12,2892,960.380859375,59.96817262031868,36,16,8,66.11594710521537,2381
66,https://www.bhaskar.com/bollywood,2024.0,0.11709486166007906,,4,34,511,508.5947265625,67.69149828821374,206,18,1,54.819956783735215,3129
67,https://www.inoxmovies.com/,403.0,0.007444168734491315,,12,1,163,267.7646484375,79.26044253823065,88,10,8,37.33705044809207,1919
68,https://www.cartoonbrew.com/,644.0,0.36801242236024845,,0,27,90,821.595703125,65.64754657595142,70,7,0,31.431366219871375,2527
69,https://www.hollywoodawards.com/,168.0,0.8511904761904762,,0,4,36,3879.08984375,98.32883035747552,64,4,0,13.755275542436829,1550
70,https://www.oscars.org/,167.0,0.03592814371257485,,0,2,53,10013.103515625,59.52768140341104,30,3,0,2.146538266668609,866
